     B1      B2      B3      B4      B5      T1KEV     Z    K/T1
  -.21151  .17523 -.01017  .00003  .00000     1.       2    0.
  -.08591 -.59025  .01747  .00062  .00017     1.       2    0.6
  -.05333 -.80182  .02101  .00069  .00024     1.       2    0.8
  -.03139 -.95045  .02314  .00041  .00031     1.       2    0.95
  -.20609  .02951 -.00243  .00001  .00000     1.       8    0.
  -.10855 -.56474  .02936  .00252 -.00014     1.       8    0.6
  -.08863 -.69444  .03411  .00325 -.00017     1.       8    0.8
  -.07663 -.77359  .03705  .00253 -.00010     1.       8    0.95
  -.20121 -.10160  .00943 -.00025  .00000     1.      13    0.
  -.12071 -.59570  .04347  .00141 -.00014     1.      13    0.6
  -.10563 -.68214  .04725 -.00020  .00005     1.      13    0.8
  -.09638 -.73304  .04887  .00008  .00047     1.      13    0.95
  -.18676 -.49059  .07122 -.00460  .00020     1.      47    0.
  -.14121 -.71105  .09273 -.00664 -.00058     1.      47    0.6
  -.14223 -.71696  .09391 -.00475 -.00025     1.      47    0.8
  -.14796 -.72188  .09995 -.00618  .00028     1.      47    0.95
  -.18581 -.51588  .06850 -.00373  .00013     1.      79    0.
  -.16373 -.58320  .07512 -.00358 -.00215     1.      79    0.6
  -.16957 -.55865  .07451 -.00534  .00065     1.      79    0.8
  -.16884 -.55066  .07219 -.00379  .00025     1.      79    0.95
  -.18850 -.44352  .05487 -.00263  .00008     1.      92    0.
  -.16409 -.52443  .06063 -.00345 -.00254     1.      92    0.6
  -.17369 -.50279  .06351 -.00329 -.00128     1.      92    0.8
  -.18934 -.49102  .06918 -.00553  .00288     1.      92    0.95
  -.46909  .28693 -.02403 -.00016 -.00000     5.       2    0.
  -.17091 -.56724  .02152  .00117  .00198     5.       2    0.6
  -.10490 -.78669  .02935  .00171  .00281     5.       2    0.8
  -.05779 -.94635  .03549  .00082  .00374     5.       2    0.95
  -.46403  .22465 -.02137  .00006  .00001     5.       8    0.
  -.19769 -.54140  .03240  .00123  .00151     5.       8    0.6
  -.14082 -.72552  .04108  .00142  .00211     5.       8    0.8
  -.10116 -.85693  .04673  .00064  .00257     5.       8    0.95
  -.45993  .17414 -.01814  .00016  .00001     5.      13    0.
  -.21740 -.52585  .04164  .00112  .00118     5.      13    0.6
  -.16772 -.68286  .05087  .00106  .00162     5.      13    0.8
  -.13338 -.79346  .05679  .00048  .00195     5.      13    0.95
  -.43671 -.11460  .03807 -.00357  .00014     5.      47    0.
  -.26991 -.59377  .11035 -.00634  .00093     5.      47    0.6
  -.25158 -.65149  .11837 -.00694  .00109     5.      47    0.8
  -.24229 -.68255  .12294 -.00740  .00090     5.      47    0.95
  -.42259 -.29149  .09680 -.01278  .00103     5.      79    0.
  -.29272 -.64623  .16387 -.01775  .00130     5.      79    0.6
  -.28554 -.67436  .17043 -.01879  .00143     5.      79    0.8
  -.28354 -.68701  .17387 -.01951  .00153     5.      79    0.95
  -.42096 -.31221  .10657 -.01485  .00134     5.      92    0.
  -.30060 -.64235  .16990 -.01979  .00203     5.      92    0.6
  -.29657 -.65999  .17602 -.02126  .00218     5.      92    0.8
  -.29615 -.66850  .17964 -.02207  .00230     5.      92    0.95
  -.64745  .33754 -.03338 -.00039 -.00001    10.       2    0.
  -.23918 -.54496  .02827  .00177  .00082    10.       2    0.6
  -.14794 -.77383  .04150  .00243  .00076    10.       2    0.8
  -.08019 -.94598  .05382  .00254  .00025    10.       2    0.95
  -.64274  .29526 -.03257 -.00011  .00001    10.       8    0.
  -.25757 -.53299  .03462  .00283  .00108    10.       8    0.6
  -.16976 -.74547  .04741  .00312  .00114    10.       8    0.8
  -.10898 -.90126  .06083  .00291  .00059    10.       8    0.95
  -.63911  .26258 -.03085  .00007  .00001    10.      13    0.
  -.27257 -.52485  .04107  .00319  .00124    10.      13    0.6
  -.20420 -.70347  .06209  .00180  .00018    10.      13    0.8
  -.13446 -.86309  .06727  .00288  .00079    10.      13    0.95
  -.61683  .05977  .00831 -.00169  .00006    10.      47    0.
  -.35398 -.51928  .10586 -.00542  .00167    10.      47    0.6
  -.31981 -.60136  .11696 -.00581  .00198    10.      47    0.8
  -.30162 -.64874  .12461 -.00584  .00117    10.      47    0.95
  -.59910 -.10419  .07132 -.01219  .00099    10.      79    0.
  -.37796 -.59419  .17769 -.02076  .00271    10.      79    0.6
  -.36008 -.64482  .18972 -.02218  .00259    10.      79    0.8
  -.35977 -.64143  .19061 -.02317  .00249    10.      79    0.95
  -.59531 -.13971  .09036 -.01712  .00174    10.      92    0.
  -.38559 -.60691  .19926 -.02760  .00313    10.      92    0.6
  -.37116 -.64978  .21147 -.02968  .00321    10.      92    0.8
  -.36553 -.67114  .21869 -.03129  .00327    10.      92    0.95
 -1.20197  .51537 -.06593 -.00184 -.00019    50.       2    0.
  -.54605 -.37404  .04287  .01007 -.00421    50.       2    0.6
  -.34511 -.66855  .07319  .01287 -.00304    50.       2    0.8
  -.17483 -.91768  .09855  .01435 -.00168    50.       2    0.95
 -1.19966  .50321 -.06800 -.00148 -.00011    50.       8    0.
  -.54835 -.38190  .04475  .00560  .00040    50.       8    0.6
  -.33237 -.69222  .07723  .00615  .00169    50.       8    0.8
  -.15975 -.94230  .10352  .00689  .00223    50.       8    0.95
 -1.19816  .49529 -.06898 -.00117 -.00006    50.      13    0.
  -.55550 -.38128  .04675  .00324  .00297    50.      13    0.6
  -.33571 -.69409  .08026  .00267  .00421    50.      13    0.8
  -.16599 -.93876  .10672  .00308  .00427    50.      13    0.95
 -1.18844  .44269 -.06298  .00036  .00007    50.      47    0.
  -.67464 -.29153  .08325  .00302  .00029    50.      47    0.6
  -.56025 -.46312  .11229  .00550 -.00040    50.      47    0.8
  -.47901 -.58510  .13124  .00781 -.00057    50.      47    0.95
 -1.17382  .36052 -.02617 -.00431  .00023    50.      79    0.
  -.73369 -.31543  .16859 -.01936  .00107    50.      79    0.6
  -.67500 -.41587  .19740 -.01995  .00090    50.      79    0.8
  -.63897 -.47771  .21339 -.01803 -.00003    50.      79    0.95
 -1.16731  .32281  .00062 -.01121  .00085    50.      92    0.
  -.74292 -.35116  .21105 -.03366  .00341    50.      92    0.6
  -.68958 -.44524  .24131 -.03735  .00400    50.      92    0.8
  -.65976 -.49891  .25747 -.03628  .00244    50.      92    0.95
 -1.42451  .61636 -.08210 -.00300 -.00046   100.       2    0.
  -.77465 -.19315  .03815  .00553  .00042   100.       2    0.6
  -.50828 -.53707  .08307  .00163  .00649   100.       2    0.8
  -.24203 -.88026  .11905  .00809  .00818   100.       2    0.95
 -1.42436  .61392 -.08472 -.00270 -.00036   100.       8    0.
  -.77861 -.19025  .03828  .00668  .00020   100.       8    0.6
  -.51479 -.53058  .08051  .00816  .00321   100.       8    0.8
  -.25359 -.86753  .11950  .00833  .00777   100.       8    0.95
 -1.42425  .61225 -.08631 -.00243 -.00029   100.      13    0.
  -.78591 -.18410  .03835  .00764  .00001   100.      13    0.6
  -.52902 -.51607  .07881  .01228  .00112   100.      13    0.8
  -.27653 -.84268  .11936  .00906  .00716   100.      13    0.95
 -1.42277  .59773 -.09033 -.00011 -.00004   100.      47    0.
  -.89289 -.10235  .05388  .00923 -.00125   100.      47    0.6
  -.74775 -.30489  .09096  .01277 -.00165   100.      47    0.8
  -.61492 -.49051  .12546  .01565 -.00017   100.      47    0.95
 -1.41839  .56396 -.07703  .00021 -.00025   100.      79    0.
  -.96388 -.09604  .11911 -.00560 -.00195   100.      79    0.6
  -.87542 -.23057  .15553 -.00498 -.00218   100.      79    0.8
  -.80929 -.33104  .18196 -.00168 -.00309   100.      79    0.95
 -1.41536  .54243 -.06101 -.00304 -.00026   100.      92    0.
  -.98320 -.10932  .15389 -.01429 -.00214   100.      92    0.6
  -.90427 -.23127  .18990 -.01361 -.00282   100.      92    0.8
  -.85250 -.31090  .21377 -.01318 -.00332   100.      92    0.95
 -1.65989  .76417 -.09205 -.00614 -.00302   500.       2    0.
